repository,url,description,created_date,last_modified,stars,forks,aws_services,topics,solution_type,competency,customer_problems,solution_marketing,deployment_tools,deployment_level,deployment_readiness,primary_language,secondary_language,framework,cost_range,setup_time,business_value,target_audience,use_case_category,integration_complexity,maintenance_level,scalability,usp,freshness_status,days_since_update,genai_agentic,classification_method,classification_timestamp
"aws-samples/generative-bi-using-rag","https://github.com/aws-samples/generative-bi-using-rag","A solution guidance for Generative BI using Amazon Bedrock; Amazon OpenSearch with RAG","2024-03-12T13:42:47Z","2025-10-10T21:51:58Z","167","50","Bedrock; CDK; RDS; Redshift","llm; nlq; nlq-to-sql; rag; text-to-sql; text2sql","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","15","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:03.895571"
"aws-samples/eb-php-wordpress","https://github.com/aws-samples/eb-php-wordpress","Configuration files and instructions for installing WordPress securely and running it in a load balanced AWS Elastic Beanstalk environment with an EFS file system for shared assets.","2016-11-07T18:37:26Z","2025-06-24T00:25:34Z","166","93","EFS; RDS","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","PHP","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","124","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:04.662074"
"aws-samples/amazon-bedrock-rag","https://github.com/aws-samples/amazon-bedrock-rag","Fully managed RAG solution implemented using Knowledge Bases for Amazon Bedrock","2024-02-19T18:40:54Z","2025-09-24T17:47:43Z","166","45","API Gateway; Bedrock; Lambda; S3; WAF","apigateway; bedrock; genai; lambda; opensearch-serverless; rag; s3; waf","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","31","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:04.998118"
"aws-samples/aws-sagemaker-build","https://github.com/aws-samples/aws-sagemaker-build","Creates a CloudFormation template that uses AWS StepFunctions to automate the building and training of Sagemaker custom models based on S3 and GitHub events","2018-02-26T22:46:04Z","2024-04-29T11:50:59Z","165","44","CloudFormation; Lambda; S3; SageMaker","","Quick Wins","AI/ML","Development Efficiency","starter","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Legacy","544","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:05.871644"
"aws-samples/amazon-dynamodb-labs","https://github.com/aws-samples/amazon-dynamodb-labs","Hands on workshop and design scenarios for Amazon DynamoDB","2020-01-13T20:48:04Z","2025-10-18T10:28:35Z","165","124","DynamoDB; S3","amazon-dynamodb","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","8","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:06.234769"
"aws-samples/aws-ecs-devops-using-aws-cdk","https://github.com/aws-samples/aws-ecs-devops-using-aws-cdk","This repository provides a general DevOps practices such MSA; IaC; CICD and Monitoring. AWS various services are used to provide DevOps best practices.","2021-05-27T04:43:23Z","2025-08-19T16:33:43Z","165","61","CDK; ECS; SageMaker","cdk; cicd; devops; ecs","Foundation Builders","AI/ML","Development Efficiency","visibility","CDK","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","67","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:08.198406"
"aws-samples/aws-sdk-unity-samples","https://github.com/aws-samples/aws-sdk-unity-samples","This repository has samples that demonstrate various aspects of the AWS Mobile SDK for Unity; you can get the SDK source on Github (https://github.com/aws/aws-sdk-net)","2014-12-17T01:25:17Z","2025-07-24T01:59:24Z","164","109","Cognito; DynamoDB; S3","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","C#","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","94","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:09.019173"
"aws-samples/amazon-kendra-langchain-extensions","https://github.com/aws-samples/amazon-kendra-langchain-extensions","Samples to build Generative AI applications with LangChain and Amazon Kendra","2023-04-24T21:12:08Z","2025-10-07T12:05:21Z","163","106","General AWS","amazon-kendra; generative-ai; langchain-python","Innovation Catalysts","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","18","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:09.359391"
"aws-samples/comfyui-on-eks","https://github.com/aws-samples/comfyui-on-eks","ComfyUI on AWS","2023-12-28T05:29:30Z","2025-10-19T22:56:50Z","163","35","ALB; API Gateway; CDK; CloudFront; Cognito","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Shell","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","6","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:10.036566"
"aws-samples/apn-blog","https://github.com/aws-samples/apn-blog","APN Blog article code and configurations.","2016-02-02T23:03:27Z","2024-06-25T12:28:43Z","162","185","General AWS","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","HCL","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Legacy","487","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:10.749670"
"aws-samples/lambda-refarch-image-moderation-chatbot","https://github.com/aws-samples/lambda-refarch-image-moderation-chatbot","The Image Moderator Chatbot serverless reference architecture demonstrates how to leverage Amazon Rekognition's image moderation deep learning feature to automatically remove messages containing explicit or suggestive images from channels of popular chat apps using Amazon API Gateway; AWS Lambda; and Amazon Rekognition.","2017-07-25T19:13:29Z","2025-10-24T01:33:57Z","162","66","API Gateway; CloudFormation; Lambda; Rekognition","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:13.144650"
"aws-samples/serverless-dotnet-demo","https://github.com/aws-samples/serverless-dotnet-demo","With the release of .NET 8 [AWS Lambda](https://aws.amazon.com/lambda/) now supports .NET 8 and .NET 6 as managed runtimes. With the availability of ARM64 using Graviton2 there have been vast improvements to using .NET with Lambda.","2022-03-08T14:50:31Z","2025-10-15T10:22:54Z","162","40","API Gateway; DynamoDB; Lambda","","Innovation Catalysts","General Development","Time to Market","foundation","Manual","Production Ready","Beta Ready","C#","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","11","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:14.341719"
"aws-samples/serverless-snippets","https://github.com/aws-samples/serverless-snippets","Snippets of code used for Serverless Development. Code examples hosted on serverlessland.com/snippets","2022-07-22T12:06:44Z","2025-10-16T00:28:07Z","162","100","CloudWatch; Lambda","aws; serverless; snippets","Quick Wins","General Development","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Java","N/A","Spring/Maven","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","10","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:14.675339"
"aws-samples/dify-aws-tool","https://github.com/aws-samples/dify-aws-tool","<a href="https://github.com/aws-samples/dify-aws-tool/blob/main/workflow/README.md">Demos</a> · <a href="https://github.com/aws-samples/dify-aws-tool/blob/main/dify.yaml">Deploy Dify With CloudFormation</a> ·","2024-07-01T03:34:13Z","2025-10-21T06:25:17Z","162","35","Bedrock; CloudFormation; EKS; S3; SageMaker","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:15.932169"
"aws-samples/terraform-eks-code","https://github.com/aws-samples/terraform-eks-code","This code repo is intended to be used with the public AWS workshop: https://tf-eks-workshop.workshop.aws/","2021-01-14T12:31:15Z","2025-10-22T08:44:08Z","161","158","EKS; VPC","","Foundation Builders","General Development","Development Efficiency","foundation","Terraform","Production Ready","Beta Ready","HCL","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:17.004986"
"aws-samples/dify-self-hosted-on-aws","https://github.com/aws-samples/dify-self-hosted-on-aws","Self-host Dify on AWS","2024-09-26T00:50:48Z","2025-10-23T08:43:36Z","160","44","Aurora; Bedrock; CDK; ECS; Fargate","aws-cdk; dify","Foundation Builders","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","3","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:18.972556"
"aws-samples/cfn101-workshop","https://github.com/aws-samples/cfn101-workshop","AWS CloudFormation Workshop","2019-10-15T22:52:40Z","2025-10-20T11:21:35Z","159","158","CloudFormation","aws; cloudformation; workshop","Foundation Builders","DevOps","Development Efficiency","foundation","CloudFormation","Production Ready","Beta Ready","Shell","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","6","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:19.306066"
"aws-samples/eks-cluster-upgrade","https://github.com/aws-samples/eks-cluster-upgrade","Automated Amazon EKS cluster upgrade","2021-11-20T14:21:59Z","2025-08-15T08:53:05Z","159","37","EC2; EKS; IAM","amazon; aws; cluster-upgrade; eks; k8s; kubernetes; kubernetes-upgrade","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","72","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:19.699841"
"aws-samples/serverless-java-frameworks-samples","https://github.com/aws-samples/serverless-java-frameworks-samples","This is a simple serverless application built in Java using popular frameworks — [Micronaut](https://micronaut.io/); It consists of an [Amazon API Gateway](https://aws.amazon.com/api-gateway/) backed by four [AWS Lambda](https://aws.amazon.com/lambda/)","2022-02-23T19:46:34Z","2025-10-15T04:48:13Z","159","42","API Gateway; DynamoDB; Lambda","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Java","N/A","Spring/Maven","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","11","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:20.732719"
"aws-samples/sample-serverless-dify-stack","https://github.com/aws-samples/sample-serverless-dify-stack","Deploy high availability Dify clusters using Amazon serverless services with AWS CDK.","2024-11-13T07:47:14Z","2025-09-28T04:16:48Z","159","5","CDK; CloudFormation; ELB","","Innovation Catalysts","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","28","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:21.444238"
"aws-samples/amazon-serverless-datalake-workshop","https://github.com/aws-samples/amazon-serverless-datalake-workshop","A workshop demonstrating the capabilities of S3; Athena; Glue; Kinesis; and Quicksight.","2018-10-31T19:32:42Z","2025-10-06T09:25:52Z","158","80","Athena; CloudFormation; Glue; IAM; Kinesis","","Foundation Builders","Security","Time to Market","foundation","Manual","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","20","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:23.901896"
"aws-samples/aws-analytics-reference-architecture","https://github.com/aws-samples/aws-analytics-reference-architecture","**this project is deprecated in favor of the [AWS Data Solutions Framework](https://awslabs.github.io/data-solutions-framework-on-aws/)**. AWS DSF provides not only examples but also components that can be directly reused by AWS partners and customers. Popular constructs from this project are being ","2021-04-16T18:48:43Z","2025-10-06T09:35:33Z","158","44","CDK","","Quick Wins","DevOps","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","20","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:24.926325"
"aws-samples/aws-serverless-saas-workshop","https://github.com/aws-samples/aws-serverless-saas-workshop","The goal of this workshop is to build a multi-tenant Software-as-a-Service (SaaS) solution using AWS Serverless Services; such as Amazon API Gateway; Amazon Cognito; AWS Lambda; Amazon DynamoDB; AWS CodePipeline; and Amazon CloudWatch.","2021-10-20T20:51:24Z","2025-10-05T12:06:01Z","158","72","API Gateway; CloudWatch; CodePipeline; Cognito; DynamoDB","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","20","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:26.055035"
"aws-samples/bedrock-multi-agents-collaboration-workshop","https://github.com/aws-samples/bedrock-multi-agents-collaboration-workshop","This public AWS workshop showcases the new Amazon Bedrock Agents feature - [multi-agent collaboration capabilities](https://docs.aws.amazon.com/bedrock/latest/userguide/agents-multi-agent-collaboration.html) - through an Energy Efficiency Management System.","2024-11-14T11:53:59Z","2025-10-19T17:11:48Z","158","63","Bedrock","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","6","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:27.219615"
"aws-samples/aws-bootstrap-kit-examples","https://github.com/aws-samples/aws-bootstrap-kit-examples","Current package is deprecated and will not be maintained anymore. AWS Bootstrap Kit implementation has been moved to leverage the new [AWS Landing Zone Accelerator solution](https://aws.amazon.com/solutions/implementations/landing-zone-accelerator-on-aws/) ([github](https://github.com/awslabs/landin","2020-10-16T07:34:54Z","2025-09-18T14:07:00Z","157","184","CDK","","Quick Wins","DevOps","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","37","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:28.302271"
"aws-samples/aws-lambda-deploy","https://github.com/aws-samples/aws-lambda-deploy","A collection of tools to enable canary deployments of AWS Lambda functions.","2017-10-05T19:02:39Z","2025-05-29T10:09:25Z","156","59","CloudFormation; CloudWatch; Lambda; Step Functions","","Foundation Builders","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","150","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:30.866019"
"aws-samples/aws-lambda-hexagonal-architecture","https://github.com/aws-samples/aws-lambda-hexagonal-architecture","Implementing hexagonal architecture on AWS Lambda with Node.js","2021-07-01T22:14:03Z","2025-10-24T01:45:40Z","156","27","API Gateway; DynamoDB; Lambda","","Foundation Builders","General Development","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:31.737368"
"aws-samples/amazon-bedrock-rag-workshop","https://github.com/aws-samples/amazon-bedrock-rag-workshop","Workshop Studio","2023-08-29T04:53:22Z","2025-09-22T01:26:08Z","156","39","Bedrock","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","34","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:32.566288"
"aws-samples/amazon-bedrock-aistylist-lab","https://github.com/aws-samples/amazon-bedrock-aistylist-lab","Welcome to the AI Stylist Lab! This lab explores some of the most common usage patterns for Generative AI use cases. You will gain hands-on experience implementing these patterns with Amazon Bedrock.","2023-11-07T01:15:48Z","2025-10-07T23:30:46Z","155","82","Bedrock; IAM; SageMaker","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","18","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:33.732733"
"aws-samples/serverless-full-stack-webapp-starter-kit","https://github.com/aws-samples/serverless-full-stack-webapp-starter-kit","Full stack webapp kit to leverage the power of serverless!","2022-06-10T00:14:12Z","2025-10-21T05:17:58Z","154","34","Aurora; CDK; CloudFront; CloudWatch; Cognito","aws-cdk; express; nodejs; react; typescript","Quick Wins","Security","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","5","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:34.079191"
"aws-samples/amazon-sagemaker-mlflow-fargate","https://github.com/aws-samples/amazon-sagemaker-mlflow-fargate","Managing your machine learning lifecycle with MLflow and Amazon SageMaker","2020-12-03T11:44:05Z","2025-09-05T11:43:45Z","153","93","CDK; Fargate; RDS; S3; SageMaker","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","50","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:36.357619"
"aws-samples/aws-serverless-ai-stories","https://github.com/aws-samples/aws-serverless-ai-stories","Example open source event-driven application that generates a new bed time story for your children every night using Lambda; EventBridge; DynamoDB; App Runner; ChatGPT and DALL-E.","2023-03-08T13:45:04Z","2025-10-04T14:16:42Z","153","48","CDK; DynamoDB; EventBridge; Lambda; Polly","chatgpt; dalle; dynamodb; event-driven-architecture; eventbridge; serverless","Quick Wins","DevOps","Time to Market","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","21","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:36.735211"
"aws-samples/generative-ai-cdk-constructs-samples","https://github.com/aws-samples/generative-ai-cdk-constructs-samples","This repo provides sample generative AI stacks built atop the AWS Generative AI CDK Constructs.","2023-11-27T23:06:08Z","2025-10-21T22:32:10Z","153","50","Bedrock; CDK; Lambda; S3; SageMaker","amazon-bedrock; appsync; aws; aws-cdk; generative-ai; generative-ai-samples; huggingface; langchain; opensearch; question-answering-system; retrieval-augmented-generation; sagemaker; step-functions; summarization; typescript","Innovation Catalysts","AI/ML","Development Efficiency","foundation","CDK","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:37.085762"
"aws-samples/ecs-refarch-batch-processing","https://github.com/aws-samples/ecs-refarch-batch-processing","A reference architecture for handling batch processing workloads using Amazon ECS.","2017-02-10T18:43:15Z","2025-08-17T18:23:49Z","151","44","Batch; CloudFormation; CloudWatch; ECS; IAM","","Foundation Builders","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","69","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:37.949593"
"aws-samples/elasticache-refarch-chatapp","https://github.com/aws-samples/elasticache-refarch-chatapp","Example architecture for building a chat application using ElastiCache for Redis.","2017-04-14T20:21:50Z","2025-05-08T04:05:15Z","151","72","CloudFormation; EC2; S3; VPC","","Quick Wins","DevOps","Development Efficiency","starter","Manual","Production Ready","Beta Ready","HTML","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","171","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:38.702386"
"aws-samples/aws-lambda-layer-awscli","https://github.com/aws-samples/aws-lambda-layer-awscli","AWS Lambda Layer for AWS CLI","2019-04-16T15:49:00Z","2025-01-15T07:21:27Z","151","43","CDK; Lambda","","Foundation Builders","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","284","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:41.004557"
"aws-samples/serverless-typescript-demo","https://github.com/aws-samples/serverless-typescript-demo","<img src="imgs/diagram.png" alt="Architecture diagram"/> This is a simple serverless application built in Typescript and uses Node.js 14 runtime. It consists of an","2021-12-10T08:59:08Z","2025-10-07T09:39:09Z","151","44","API Gateway; CDK; CloudFormation; CloudWatch; DynamoDB","","Foundation Builders","DevOps","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","19","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:42.087020"
"aws-samples/aws-marketplace-serverless-saas-integration","https://github.com/aws-samples/aws-marketplace-serverless-saas-integration","Example of serverless integration for SaaS products listed on the AWS Marketplace.","2020-07-16T12:51:45Z","2025-10-24T01:52:15Z","150","84","Lambda; S3","aws; aws-marketplace; marketplace; saas; serverless","Quick Wins","General Development","Development Efficiency","starter","Manual","Production Ready","Beta Ready","JavaScript","N/A","Node.js/React","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:42.420957"
"aws-samples/jupyter-notebook-for-incident-response","https://github.com/aws-samples/jupyter-notebook-for-incident-response","A library of Incident Response notebooks using Jupyter. We will show how you can leverage pre-defined notebook files to guide your incident responders in identifying; containing; eradicating; and recovering from an incident.","2023-04-29T00:01:54Z","2025-10-24T01:43:32Z","150","10","Athena; CloudFormation; CloudTrail; CodeCommit; IAM","automation; documentation; incident-response; jupyter-notebook","Innovation Catalysts","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Jupyter Notebook","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","2","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:42.747621"
"aws-samples/aws-refarch-moodle","https://github.com/aws-samples/aws-refarch-moodle","Moodle Reference Architecture with supporting Cloud Formation templates","2018-02-26T22:30:27Z","2025-09-22T02:31:47Z","149","138","ACM; Aurora; CloudFormation; CloudFront; EC2","","Quick Wins","DevOps","Development Efficiency","starter","Manual","Production Ready","Beta Ready","Multiple","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","34","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:43.485802"
"aws-samples/aws-account-vending-machine","https://github.com/aws-samples/aws-account-vending-machine","This repository contains various versions of the account vending machine used to provision AWS accounts with custom configurations","2019-04-22T23:39:43Z","2025-08-14T22:23:00Z","149","73","CloudFormation; IAM; Lambda","","Innovation Catalysts","Security","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","Python","N/A","Python/Flask/Django","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Actively Maintained","72","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:45.854755"
"aws-samples/mlops-e2e","https://github.com/aws-samples/mlops-e2e","MLOps End-to-End Example using Amazon SageMaker Pipeline; AWS CodePipeline and AWS CDK","2021-08-10T22:53:43Z","2025-10-14T03:31:27Z","149","97","CDK; CloudFormation; CodeCommit; CodePipeline; SageMaker","aws-cdk; aws-codepipeline; aws-sagemaker; mlops","Quick Wins","AI/ML","Development Efficiency","starter","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","12","No","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:46.180241"
"aws-samples/sample_agentic_ai_strands","https://github.com/aws-samples/sample_agentic_ai_strands","本方案对应blog:[亚马逊云科技中国区构建 Agentic AI 应用实践指南](https://aws.amazon.com/cn/blogs/china/practical-guide-to-building-agentic-ai-applications-for-aws-china-region/) 这是基于Strands Agents SDK开发的通用型Agentic AI应用，通过MCP的集成，实现了大语言模型与外部工具系统的无缝连接。Strands SDK作为核心引擎，提供了强大的代理能力和工具集成机制，使得整个系统具备了高度的可扩展性和实用性。","2024-07-06T08:38:45Z","2025-10-22T09:39:19Z","149","29","Bedrock; CDK; ECS","","Innovation Catalysts","AI/ML","Development Efficiency","foundation","Manual","Production Ready","Beta Ready","TypeScript","N/A","Standard","Low (<$1K)","Quick Setup (< 1 hour)","High","Developers","Infrastructure","Medium","Low","High","Reliable solution","Recently Updated","4","Yes","Enhanced V4 - Bug-Fixed Analysis","2025-10-26T11:24:47.229238"
