repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/output-scrubber-nodejs,https://github.com/awslabs/output-scrubber-nodejs,Obscure sensitive information in standard output and standard error.,2020-07-13T21:25:15Z,2023-01-20T13:55:40Z,2,2,Foundation Builders,recommendation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1007,No,,S3-Based Complete Analysis,2025-10-24T13:22:11.186524
awslabs/amazon-aurora-postgres-monitoring,https://github.com/awslabs/amazon-aurora-postgres-monitoring,"An advanced monitoring system for Amazon Aurora PostgreSQL that is completely serverless, based on AWS Lambda and Amazon CloudWatch",2020-07-15T22:47:34Z,2025-10-22T14:44:13Z,40,6,Operational Excellence,visibility,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Monitoring Blindness, Manual Operations, System Downtime",Reliable AWS solution,Active,1,No,"aurora, cloudwatch, lambda, monitoring, monitoring-tool, postgres, postgresql, postgresql-database, serverless",S3-Based Complete Analysis,2025-10-24T13:22:11.186580
awslabs/amazon-transcribe-streaming-sdk,https://github.com/awslabs/amazon-transcribe-streaming-sdk,The Amazon Transcribe Streaming SDK is an async Python SDK for converting audio into text via Amazon Transcribe.,2020-07-15T23:37:50Z,2025-10-23T11:08:40Z,177,54,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,1,No,"amazon-transcribe, asyncio, aws, python",S3-Based Complete Analysis,2025-10-24T13:22:11.186658
awslabs/amazon-emr-user-role-mapper,https://github.com/awslabs/amazon-emr-user-role-mapper,Application to securely map users on a multi tenant Amazon EMR cluster to different IAM Roles and then assume the mapped Role.,2020-07-16T22:52:22Z,2025-07-19T07:29:33Z,22,20,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,IAM,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,97,No,,S3-Based Complete Analysis,2025-10-24T13:22:11.186716
awslabs/homomorphic-implementors-toolkit,https://github.com/awslabs/homomorphic-implementors-toolkit,,2020-07-17T19:13:32Z,2025-09-05T18:09:41Z,68,9,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C++,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,48,No,,S3-Based Complete Analysis,2025-10-24T13:22:11.703891
awslabs/aws-security-assessment-solution,https://github.com/awslabs/aws-security-assessment-solution,An AWS tool to help you create a point in time assessment of your AWS account using Prowler.,2020-07-20T21:12:27Z,2025-10-23T09:27:37Z,572,113,Foundation Builders,compliance,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,1,No,,S3-Based Complete Analysis,2025-10-24T13:22:11.704188
awslabs/coldsnap,https://github.com/awslabs/coldsnap,A command line interface for Amazon EBS snapshots,2020-07-21T20:35:15Z,2025-10-23T03:27:35Z,245,30,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Rust,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,1,No,"amazon, aws, ebs, snapshots",S3-Based Complete Analysis,2025-10-24T13:22:11.704247
awslabs/amazon-ec2-instance-qualifier,https://github.com/awslabs/amazon-ec2-instance-qualifier,A CLI tool that automates benchmarking on a range of EC2 instance types.,2020-07-22T17:12:42Z,2025-10-19T09:29:46Z,20,8,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,5,No,"aws, aws-ec2, ec2, ec2-instance, ec2-spot",S3-Based Complete Analysis,2025-10-24T13:22:11.704296
awslabs/fhir-works-on-aws-interface,https://github.com/awslabs/fhir-works-on-aws-interface,The interface for the FHIR Works on AWS framework. This package is the glue that allows communication to flow between components ,2020-07-22T17:15:09Z,2023-12-21T13:29:43Z,39,19,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,672,No,"aws, fhir, fhir-works, healthcare, hl7, nodejs, typescript",S3-Based Complete Analysis,2025-10-24T13:22:11.704347
awslabs/fhir-works-on-aws-authz-rbac,https://github.com/awslabs/fhir-works-on-aws-authz-rbac,"A role based access control implementation of the FHIR Works on AWS framework, utilizing Cognito and User Groups to perform authorization",2020-07-23T01:35:27Z,2023-12-21T13:33:10Z,23,15,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,672,No,"aws, fhir, fhir-works, healthcare, hl7, nodejs, typescript",S3-Based Complete Analysis,2025-10-24T13:22:11.704399
awslabs/fhir-works-on-aws-search-es,https://github.com/awslabs/fhir-works-on-aws-search-es,"An Elasticsearch implementation of the FHIR Works on AWS framework, enabling users to search for FHIR resources",2020-07-23T01:36:43Z,2023-12-27T17:31:22Z,32,25,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,666,No,"aws, fhir, fhir-works, healthcare, hl7, nodejs, typescript",S3-Based Complete Analysis,2025-10-24T13:22:11.704448
awslabs/fhir-works-on-aws-routing,https://github.com/awslabs/fhir-works-on-aws-routing,The routing implementation of the FHIR Works on AWS framework. Finding the correct component to handle the HTTP FHIR request,2020-07-23T01:37:56Z,2023-12-21T13:33:31Z,31,23,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,672,No,"aws, fhir, fhir-works, healthcare, hl7, nodejs, typescript",S3-Based Complete Analysis,2025-10-24T13:22:11.704496
awslabs/fhir-works-on-aws-persistence-ddb,https://github.com/awslabs/fhir-works-on-aws-persistence-ddb,"A DynamoDB implementation of the FHIR Works on AWS framework, enabling users to complete CRUD operations on FHIR resources",2020-07-23T01:39:12Z,2023-12-21T13:33:17Z,27,20,Foundation Builders,foundation,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,672,No,"aws, fhir, fhir-works, healthcare, hl7, nodejs, typescript",S3-Based Complete Analysis,2025-10-24T13:22:11.704545
awslabs/aws-data-api-python-sdk,https://github.com/awslabs/aws-data-api-python-sdk,,2020-07-29T22:16:02Z,2023-05-04T20:11:34Z,5,1,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,903,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.218633
awslabs/aws-data-api-ux,https://github.com/awslabs/aws-data-api-ux,"This project contains a simple web interface for AWS Data API. Data API's give you the ability to create a back end web service to handle core business data, without any coding or servers to manage.",2020-07-29T22:16:44Z,2023-10-26T22:01:53Z,11,1,Innovation Catalysts,foundation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,728,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:12.218949
awslabs/cloudformation-ldaps-nlb-template,https://github.com/awslabs/cloudformation-ldaps-nlb-template,Configure an LDAPS Endpoint for Simple AD,2020-07-31T17:28:46Z,2023-12-12T01:15:14Z,6,5,Foundation Builders,starter,General Development,Cross-Industry,"CloudFormation, Scripts",Production-Ready,Multiple,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,682,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.218986
awslabs/aws-alb-route-directive-adapter-for-istio,https://github.com/awslabs/aws-alb-route-directive-adapter-for-istio,,2020-08-03T22:00:29Z,2024-12-30T20:51:28Z,4,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,297,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.749404
awslabs/privacy-preserving-xgboost-inference,https://github.com/awslabs/privacy-preserving-xgboost-inference,Privacy-preserving XGBoost Inference,2020-08-05T22:10:01Z,2025-04-28T13:01:38Z,49,11,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,179,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.749736
awslabs/aws-simple-ec2-cli,https://github.com/awslabs/aws-simple-ec2-cli,"A CLI tool that simplifies the process of launching, connecting and terminating an EC2 instance.",2020-08-06T14:19:12Z,2025-08-21T11:30:11Z,101,23,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,64,No,"aws, aws-ec2, ec2, ec2-instance, ec2-instances",S3-Based Complete Analysis,2025-10-24T13:22:12.749794
awslabs/aws-repository-status-monitor,https://github.com/awslabs/aws-repository-status-monitor,The AWS Repository Status Monitor helps open-source developers keep track of GitHub and Docker metrics for their open source projects. ,2020-08-18T20:54:19Z,2023-12-26T01:27:41Z,11,2,Operational Excellence,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",Docker,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Monitoring Blindness, Manual Operations, System Downtime",Reliable AWS solution,Stale,668,No,"aws, dashboard, github-metrics, monitoring-tool",S3-Based Complete Analysis,2025-10-24T13:22:12.749844
awslabs/sagemaker-defect-detection,https://github.com/awslabs/sagemaker-defect-detection,Detect Defects in Products from their Images using Amazon SageMaker,2020-08-18T21:53:04Z,2025-10-08T05:47:16Z,59,27,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,16,No,"computer-vision, deep-learning, defect-detection, quality-control, sagemaker, sagemaker-deployment, sagemaker-pytorch",S3-Based Complete Analysis,2025-10-24T13:22:12.749883
awslabs/aws-amplify-identity-broker,https://github.com/awslabs/aws-amplify-identity-broker,A centralized login and SSO application to authenticate several websites and mobile apps.,2020-08-19T22:09:48Z,2025-07-30T01:58:22Z,219,69,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,86,Yes,"amplify, aws, cognito, federated-identity, identity-provider, login, login-system, oidc, oidc-provider, oidc-server, saml",S3-Based Complete Analysis,2025-10-24T13:22:12.749934
awslabs/aws-amplify-identity-broker-client,https://github.com/awslabs/aws-amplify-identity-broker-client,"Client demo code sample for the project ""AWS Amplify identity broker"" https://github.com/awslabs/aws-amplify-identity-broker",2020-08-19T22:10:58Z,2025-05-18T23:24:25Z,26,11,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,158,No,"amplify, aws, cognito, federated-identity, identity-provider, login, login-system, oidc, oidc-client",S3-Based Complete Analysis,2025-10-24T13:22:12.750002
awslabs/spot-tagging-bot-for-digital-assets,https://github.com/awslabs/spot-tagging-bot-for-digital-assets,Spot Tagging Bot for Digital Assets,2020-08-25T06:24:09Z,2021-10-20T14:46:44Z,18,7,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1464,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.750047
awslabs/aws-verification-model-for-libcrypto,https://github.com/awslabs/aws-verification-model-for-libcrypto,Partial verification model for openssl.,2020-08-25T21:47:55Z,2025-10-14T09:50:40Z,5,18,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,C,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,10,No,,S3-Based Complete Analysis,2025-10-24T13:22:12.750093
awslabs/diagram-maker,https://github.com/awslabs/diagram-maker,A library to display an interactive editor for any graph-like data.,2020-08-31T19:30:19Z,2025-10-23T03:53:19Z,2420,136,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Half-day Setup (1-4 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Popular community solution (2420+ stars),Active,1,No,"aws, canvas, cloud, diagram, diagram-editor, diagram-maker, diagrams, drag, drop, editor, flowchart, graph, interactive, interactive-demos, state-machine, visualization, workflow",S3-Based Complete Analysis,2025-10-24T13:22:12.750163
awslabs/aws-nitro-enclaves-cose,https://github.com/awslabs/aws-nitro-enclaves-cose,Implements COSE primitives in safe Rust.,2020-09-02T21:10:27Z,2025-09-06T11:37:54Z,27,25,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Rust,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,48,No,"cose, enclaves, nitro, nitro-enclaves, rust",S3-Based Complete Analysis,2025-10-24T13:22:12.750213
awslabs/lambda-opencv,https://github.com/awslabs/lambda-opencv,,2020-09-02T22:21:30Z,2025-07-07T16:12:04Z,1,1,Foundation Builders,enablement,General Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,Dockerfile,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,108,No,,S3-Based Complete Analysis,2025-10-24T13:22:13.262537
awslabs/diagram-maker-plugin-minimap,https://github.com/awslabs/diagram-maker-plugin-minimap,A minimap plugin package for Diagram Maker.,2020-09-04T18:42:00Z,2023-10-26T22:28:19Z,28,12,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,728,No,"aws, canvas, diagram, diagram-maker, drag, drop, editor, flowchart, interactive, interactive-demos, minimap, minimap-plugin, state-machine, visualization, workflow",S3-Based Complete Analysis,2025-10-24T13:22:13.262898
awslabs/clencli,https://github.com/awslabs/clencli,"CLENCLI enables you to quickly and predictably create, change, and improve your cloud projects. It is an open source tool that simplifies common tasks that many Cloud engineers have to perform on a daily basis by creating and maintaining the code structure and its documentation always up-to-date.",2020-09-16T01:10:05Z,2025-10-03T08:46:33Z,59,2,Innovation Catalysts,improvement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,21,Yes,"aws, cloud, cloudformation, terraform",S3-Based Complete Analysis,2025-10-24T13:22:13.262956
awslabs/aws-cv-unique-information,https://github.com/awslabs/aws-cv-unique-information,We define and estimate smooth unique information of samples with respect to classifier weights and predictions. We compute these quantities for linearized neural networks.,2020-09-18T01:40:17Z,2024-01-26T17:59:02Z,11,3,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SAM,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,636,Yes,,S3-Based Complete Analysis,2025-10-24T13:22:13.263021
awslabs/federated-amazon-eks-clusters-on-aws,https://github.com/awslabs/federated-amazon-eks-clusters-on-aws,The solution demonstrates federation capabilities between two Amazon EKS (Elastic Kubernetes Service) clusters through a secured VPC peering connection. Federation is done by using the official Kubernetes KubeFed project.,2020-09-21T21:06:53Z,2024-02-26T10:47:55Z,51,15,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,EKS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,606,No,,S3-Based Complete Analysis,2025-10-24T13:22:13.263093
awslabs/damon-tests,https://github.com/awslabs/damon-tests,Tests package for correctness verifications and performance evaluations of DAMON (https://damonitor.github.io),2020-09-22T16:16:30Z,2025-04-04T02:07:18Z,7,2,Quick Wins,optimise,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"High AWS Costs, Resource Waste, Manual Processes",Reliable AWS solution,Maintained,203,No,"hacktoberfest, kernel, linux, mm",S3-Based Complete Analysis,2025-10-24T13:22:13.263133
awslabs/amazon-timestream-tools,https://github.com/awslabs/amazon-timestream-tools,Tools and utilities to enable loading data and building applications with Amazon Timestream. ,2020-09-22T17:58:57Z,2025-09-16T02:11:09Z,252,185,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Answer Set Programming,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,38,No,,S3-Based Complete Analysis,2025-10-24T13:22:13.263178
awslabs/aws-data-exchange-subscriber-coordinator,https://github.com/awslabs/aws-data-exchange-subscriber-coordinator,AWS Data Exchange Subscriber Coordinator,2020-09-23T18:25:35Z,2023-01-23T15:59:52Z,5,2,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1004,No,,S3-Based Complete Analysis,2025-10-24T13:22:13.263236
awslabs/aws-data-exchange-publisher-coordinator,https://github.com/awslabs/aws-data-exchange-publisher-coordinator,AWS Data Exchange Publisher Coordinator,2020-09-23T18:30:22Z,2023-08-01T15:10:17Z,8,7,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,814,No,,S3-Based Complete Analysis,2025-10-24T13:22:13.263281
awslabs/aws-crt-php,https://github.com/awslabs/aws-crt-php,,2020-09-23T22:43:33Z,2025-10-24T09:42:12Z,401,13,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,PHP,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,0,No,hacktoberfest,S3-Based Complete Analysis,2025-10-24T13:22:13.790896
awslabs/xpath-util,https://github.com/awslabs/xpath-util,,2020-09-24T20:13:31Z,2023-01-27T23:39:03Z,1,2,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1000,No,,S3-Based Complete Analysis,2025-10-24T13:22:14.310942
awslabs/aws-bootstrap-kit,https://github.com/awslabs/aws-bootstrap-kit,,2020-09-30T13:31:14Z,2024-10-03T07:44:52Z,105,21,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,TypeScript,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,386,No,,S3-Based Complete Analysis,2025-10-24T13:22:14.831867
awslabs/amazon-kinesis-connector-flink,https://github.com/awslabs/amazon-kinesis-connector-flink,This is a fork of the Apache Flink Kinesis connector adding Enhanced Fanout support for Flink 1.8/1.11 on KDA.,2020-09-30T18:29:21Z,2025-06-27T20:25:23Z,24,11,Foundation Builders,improvement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,Kinesis,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,118,No,,S3-Based Complete Analysis,2025-10-24T13:22:14.832174
